Year;Country;Ranking;Price (30);Public place bans (22);Public info campaign spending (15);Advertising bans (13);Health warnings (10);Treatment (10);Total (100)
2005;Ireland;1;23;21;3;12;6;9;74
2005;United Kingdom;2;30;1;15;11;6;10;73
2005;Norway;3;26;17;5;13;6;4;71
2005;Iceland;4;25;11;13;13;6;2;70
2005;Malta;5;19;17;3;9;7;7;62
2005;Sweden;6;19;15;2;13;6;5;60
2005;Finland;7;18;12;1;13;7;7;58
2005;Italy;8;16;17;2;10;6;6;57
2005;France;9;23;6;4;11;6;6;56
2005;Netherlands;10;16;9;4;12;6;5;52
2005;Cyprus;11;21;9;1;12;6;5;51
2005;Belgium;12;16;8;2;12;7;5;50
2005;Poland;12;16;10;0;12;6;6;50
2005;Slovakia;14;18;8;0;11;6;6;49
2005;Hungary;15;17;6;1;10;6;7;47
2005;Bulgaria;16;19;6;0;9;6;6;46
2005;Denmark;17;17;3;2;10;6;7;45
2005;Estonia;17;14;9;2;11;1;8;45
2005;Portugal;19;17;5;;10;6;1;39
2005;Greece;20;17;7;0;4;6;4;38
2005;Czech Republic;20;12;6;0;9;6;5;38
2005;Germany;22;20;2;0;4;6;4;36
2005;Slovenia;22;13;6;0;7;6;4;36
2005;Switzerland;24;15;5;4;4;3;4;35
2005;Lithuania;25;11;6;1;9;6;1;34
2005;Spain;26;12;3;3;3;6;4;31
2005;Austria;26;14;4;0;4;6;3;31
2005;Latvia;28;9;6;1;6;6;1;29
2005;Romania;29;13;6;0;0;3;5;27
2005;Luxembourg;30;7;4;0;5;7;3;26
