Year;Country;Ranking;Price (30);Public place bans (22);Public info campaign spending (15);Advertising bans (13);Health warnings (10);Treatment (10);Total (100)
2016;United Kingdom;1;26;22;3;12;9;9;81
2016;Ireland;2;20;22;2;13;5;8;70
2016;Iceland;3;20;17;13;13;4;2;69
2016;France;4;19;18;1;11;9;6;64
2016;Norway;5;20;17;3;13;4;6;63
2016;Finland;6;16;18;3;13;5;5;60
2016;Romania;7;17;19;;8;5;7;56
2016;Spain;8;14;21;1;9;4;6;55
2016;Hungary;9;15;17;;11;5;5;53
2016;Netherlands;9;14;15;3;9;5;7;53
2016;Sweden;9;14;15;1;11;5;7;53
2016;Turkey;9;17;19;0;7;5;5;53
2016;Italy;13;15;14;2;9;5;6;51
2016;Malta;13;17;12;1;11;5;5;51
2016;Poland;15;14;11;1;11;5;8;50
2016;Portugal;19;14;11;1;10;5;6;47
2016;Belgium;16;14;15;1;8;5;6;49
2016;Ukraine;16;11;19;0;13;4;2;49
2016;Russia;16;6;19;0;13;4;7;49
2016;Estonia;21;12;12;;11;5;6;46
2016;Bulgaria;19;16;11;;11;5;4;47
2016;Denmark;23;13;11;1;8;5;7;45
2016;Cyprus;25;16;8;;11;1;8;44
2016;Latvia;25;14;12;;9;5;4;44
2016;Switzerland;21;13;11;8;2;5;7;46
2016;Croatia;25;16;11;0;12;1;4;44
2016;Lithuania;28;12;13;1;8;5;4;43
2016;Republic of Serbia;23;21;11;0;9;1;3;45
2016;Slovenia;28;13;15;;9;1;5;43
2016;Slovakia;30;11;10;;9;5;6;41
2016;Czech Republic;31;14;9;;8;5;4;40
2016;Greece;31;16;7;;6;5;6;40
2016;Germany;33;13;11;;4;5;4;37
2016;Luxembourg;33;5;15;;9;1;7;37
2016;Austria;35;11;8;;7;5;5;36
