Year;Country;Ranking;Price (30);Public place bans (22);Public info campaign spending (15);Advertising bans (13);Health warnings (10);Treatment (10);Total (100)
2010;United Kingdom;1;26;21;8;9;4;9;77
2010;Ireland;2;27;21;1;12;2;6;69
2010;Norway;3;25;17;2;12;1;5;62
2010;Iceland;4;20;17;9;12;1;2;61
2010;Turkey;4;25;21;0;7;5;3;61
2010;France;6;21;17;1;9;1;6;55
2010;Finland;7;17;17;2;10;2;4;52
2010;Malta;7;19;17;;9;1;6;52
2010;Sweden;9;17;15;2;10;1;6;51
2010;Belgium;10;17;13;2;8;4;6;50
2010;Switzerland;11;15;11;9;2;5;6;48
2010;Italy;12;16;17;;8;1;5;47
2010;Denmark;13;16;11;3;8;1;7;46
2010;Netherlands;13;16;13;1;9;1;6;46
2010;Spain;13;14;17;1;9;1;4;46
2010;Romania;16;21;7;;7;3;7;45
2010;Latvia;17;18;14;;9;3;0;44
2010;Slovenia;17;13;15;;9;1;6;44
2010;Estonia;19;14;12;;10;1;6;43
2010;Poland;19;15;11;;9;1;7;43
2010;Portugal;19;18;11;;8;1;5;43
2010;Lithuania;22;17;12;;8;1;3;41
2010;Slovakia;22;15;10;;9;1;6;41
2010;Bulgaria;24;21;6;;10;1;2;40
2010;Cyprus;24;14;11;;10;1;4;40
2010;Germany;26;17;11;;4;1;4;37
2010;Czech Republic;27;14;7;;8;1;4;34
2010;Hungary;27;15;6;;7;1;5;34
2010;Luxembourg;29;5;11;;9;1;7;33
2010;Austria;30;13;7;;7;1;4;32
2010;Greece;30;15;7;;6;1;3;32
